keys,en,pt_BR
UI_APP_NAME,"Atelier IDE visual workspace","Área de trabalho visual da Atelier IDE"
UI_COMMANDS_TITLE,"ACTIVE GRIMOIRE","GRIMÓRIO ATIVO"
UI_COMMANDS_SUBTITLE,"Symbols linked to the ritual","Símbolos ligados ao ritual"
UI_COMMANDS_EMPTY,"There are no symbols in the ritual yet.","Ainda não há símbolos no ritual."
UI_PALETTE_COLLAPSED_TITLE,"RUNES","RUNAS"
UI_PALETTE_TITLE,"SEALS AND RUNES","SELOS E RUNAS"
UI_PALETTE_SUBTITLE,"Drag a symbol onto a spell line.","Arraste um símbolo até a linha de um feitiço."
UI_EXECUTION_SPEED,"%.1f RPS","%.1f RPS"
UI_EXECUTION_COLLAPSED_TITLE,"EXECUTION","EXECUÇÃO"
UI_EXECUTION_TITLE,"EXECUTION","EXECUÇÃO"
UI_EXECUTION_SUBTITLE,"Ritual output and errors appear here.","A saída e os erros do ritual aparecerão aqui."
UI_OUTPUT_TITLE,"OUTPUT","SAÍDA"
UI_ERRORS_TITLE,"ERRORS","ERROS"
UI_EXECUTION_EMPTY,"Every traced line is a chain of intentions.","Cada linha traçada é um encadeamento de intenções."
UI_EXECUTION_INTERRUPTED,"Execution interrupted.","Execução interrompida."
UI_STACK_TITLE,"STACK","PILHA"
UI_STACK_SUBTITLE,"Machine state","Estado da máquina"
UI_STACK_TOP,"TOP","TOPO"
UI_STACK_COUNT,"%d RUNES","%d SELOS"
UI_STACK_HIDDEN_COUNT,"+%d below","+%d abaixo"
UI_STACK_IDLE_LINE_1,"The stack awakens","A pilha desperta"
UI_STACK_IDLE_LINE_2,"when the ritual begins.","quando o ritual começa."
UI_STACK_EMPTY,"The stack is empty.","A pilha está vazia."
UI_INTENSITY_TITLE,"INTENSITY","INTENSIDADE"
UI_INTENSITY_VALUE_ACCESSIBLE,"Intensity value","Valor da intensidade"
UI_INTENSITY_SLIDER_ACCESSIBLE,"Intensity slider","Controle deslizante de intensidade"
UI_RUNE_WITH_INTENSITY,"%s · intensity %03d","%s · intensidade %03d"
UI_BUTTON_PLAY,"Play","Executar"
UI_BUTTON_PAUSE,"Pause","Pausar"
UI_BUTTON_STEP,"Step","Passo"
UI_BUTTON_STOP,"Stop","Parar"
UI_BUTTON_LIGHT_THEME,"Light theme","Tema claro"
UI_BUTTON_DARK_THEME,"Dark theme","Tema escuro"
UI_BUTTON_EXPAND,"Expand panel","Expandir painel"
UI_BUTTON_COLLAPSE,"Collapse panel","Recolher painel"
UI_TOOLTIP_PLAY,"Starts or resumes ritual execution.","Inicia ou retoma a execução do ritual."
UI_TOOLTIP_PAUSE,"Pauses without losing the current execution state.","Pausa sem perder o estado atual da execução."
UI_TOOLTIP_STEP,"Runs only the next rune while execution is paused.","Executa somente a próxima runa enquanto a execução estiver pausada."
UI_TOOLTIP_STOP,"Stops and ends the current execution.","Interrompe e encerra a execução atual."
UI_TOOLTIP_LIGHT_THEME,"Switches the interface to the light theme.","Muda a interface para o tema claro."
UI_TOOLTIP_DARK_THEME,"Switches the interface to the dark theme.","Muda a interface para o tema escuro."
UI_TOOLTIP_EXPAND,"Opens this panel.","Abre este painel."
UI_TOOLTIP_COLLAPSE,"Minimizes this panel.","Minimiza este painel."
UI_TOOLTIP_EXECUTION_SPEED,"Sets how many runes execute per second.","Define quantas runas são executadas por segundo."
UI_TOOLTIP_INTENSITY,"Sets a value from 0 to 255 for the selected seal.","Define um valor de 0 a 255 para o selo selecionado."
UI_DIAGNOSTICS_TITLE,"DIAGNOSTICS • F3","DIAGNÓSTICO • F3"
UI_DIAGNOSTICS_FPS,"%.0f FPS | draw %.2f ms","%.0f FPS | desenho %.2f ms"
UI_DIAGNOSTICS_STAGES,"grid %.2f | code %.2f | panels %.2f ms","grade %.2f | código %.2f | abas %.2f ms"
UI_DIAGNOSTICS_CELLS,"%d cells | %d visible","%d células | %d visíveis"
UI_DIAGNOSTICS_GRID,"%d grid points | %d draw calls","%d pontos da grade | %d draw calls"
UI_PERF_SUMMARY,"%.0f FPS • %.1f redraws/s • p50 %.2f ms","%.0f FPS • %.1f redesenhos/s • p50 %.2f ms"
UI_PERF_TIMINGS,"p95 %.2f ms • max %.2f ms • grid %.2f ms • code %.2f ms","p95 %.2f ms • máx %.2f ms • grade %.2f ms • código %.2f ms"
UI_PERF_SCENE,"%d cells • %d visible • %d points","%d células • %d visíveis • %d pontos"
UI_PERF_RENDER,"%d draw calls • UI on a separate layer","%d draw calls • UI em camada separada"
UI_GRIMOIRE_TITLE,"ACTIVE GRIMOIRE","GRIMÓRIO ATIVO"
UI_GRIMOIRE_SUBTITLE,"Symbols linked to the ritual","Símbolos ligados ao ritual"
UI_GRIMOIRE_ACCESSIBLE_DESCRIPTION,"List of symbols currently linked to the ritual.","Lista dos símbolos atualmente ligados ao ritual."
UI_GRIMOIRE_LIST,"Ritual symbol list","Lista de símbolos do ritual"
UI_PALETTE_ACCESSIBLE_DESCRIPTION,"Rune palette and execution controls.","Paleta de runas e controles de execução."
UI_PALETTE_LIST,"Available runes","Runas disponíveis"
UI_MORE_CONTROLS,"More controls","Mais controles"
UI_PANEL_COLLAPSE,"Collapse panel","Recolher painel"
UI_PANEL_EXPAND,"Expand panel","Expandir painel"
UI_PLAY,"Play","Executar"
UI_PAUSE,"Pause","Pausar"
UI_STEP,"Step","Executar passo"
UI_STOP,"Stop","Parar"
UI_THEME_TOGGLE,"Toggle theme","Alternar tema"
UI_PLAY_DESCRIPTION,"Starts a new ritual execution.","Inicia uma nova execução do ritual."
UI_RESUME_DESCRIPTION,"Resumes the paused ritual.","Retoma o ritual pausado."
UI_EXECUTION_DESCRIPTION,"Ritual output and diagnostics appear here.","A saída e os diagnósticos do ritual aparecerão aqui."
UI_EXECUTION_OUTPUT,"OUTPUT","SAÍDA"
UI_EXECUTION_DIAGNOSTICS,"DIAGNOSTICS","DIAGNÓSTICOS"
UI_EXECUTION_OUTPUT_EMPTY,"No output yet.","Nenhuma saída ainda."
UI_EXECUTION_DIAGNOSTICS_EMPTY,"No warnings or errors.","Nenhum aviso ou erro."
UI_EXECUTION_PANEL_A11Y,"Execution output and diagnostics panel.","Painel de saída e diagnósticos da execução."
UI_EXECUTION_OUTPUT_A11Y,"Selectable ritual output.","Saída selecionável do ritual."
UI_EXECUTION_DIAGNOSTICS_A11Y,"Selectable execution warnings and errors.","Avisos e erros selecionáveis da execução."
UI_EXECUTION_COLLAPSE,"Collapse execution panel","Recolher painel de execução"
UI_EXECUTION_EXPAND,"Expand execution panel","Expandir painel de execução"
UI_STACK_ACCESSIBLE_DESCRIPTION,"Current virtual machine stack.","Pilha atual da máquina virtual."
UI_STACK_LIST,"Stack values","Valores da pilha"
UI_STACK_TOP_PREFIX,"TOP · ","TOPO · "
UI_STACK_ACCESSIBLE_CONTENT,"%d values in the stack.","%d valores na pilha."
RUNE_ORB_DESCRIPTION,"Pushes the rune intensity onto the stack.","Coloca a intensidade na pilha."
RUNE_ORB_EXTRA,"value","valor"
RUNE_CUP_DESCRIPTION,"Discards the value at the top of the stack.","Descarta o valor no topo da pilha."
RUNE_CUP_EXTRA,"stack: -1","pilha: −1"
RUNE_TWIN_DESCRIPTION,"Duplicates the value at the top of the stack.","Duplica o valor no topo da pilha."
RUNE_TWIN_EXTRA,"stack: +1","pilha: +1"
RUNE_KNOT_DESCRIPTION,"Swaps the two values at the top of the stack.","Troca os dois valores no topo da pilha."
RUNE_KNOT_EXTRA,"stack: swap","pilha: ↔"
RUNE_DIAMOND_DESCRIPTION,"Adds the two values at the top of the stack.","Soma os dois valores do topo."
RUNE_DIAMOND_EXTRA,"operation: +","operação: +"
RUNE_MOON_DESCRIPTION,"Subtracts the top value from the value below it.","Subtrai o valor do topo do penúltimo valor."
RUNE_MOON_EXTRA,"operation: -","operação: −"
RUNE_PLUS_DESCRIPTION,"Multiplies the two values at the top of the stack.","Multiplica os dois valores do topo."
RUNE_PLUS_EXTRA,"operation: x","operação: ×"
RUNE_SLASH_DESCRIPTION,"Divides the value below the top by the top value.","Divide o penúltimo valor pelo valor no topo da pilha."
RUNE_SLASH_EXTRA,"operation: /","operação: ÷"
RUNE_SPIRAL_DESCRIPTION,"Computes the remainder of dividing the two top values.","Calcula o resto da divisão entre os dois valores do topo."
RUNE_SPIRAL_EXTRA,"operation: %","operação: %"
RUNE_DASH_DESCRIPTION,"Negates the value at the top of the stack.","Inverte o sinal do valor no topo da pilha."
RUNE_DASH_EXTRA,"operation: -x","operação: −x"
RUNE_EQ_DESCRIPTION,"Compares equality and pushes 1 or 0.","Compara igualdade e coloca 1 ou 0 na pilha."
RUNE_EQ_EXTRA,"operation: ==","operação: =="
RUNE_NEQ_DESCRIPTION,"Compares inequality and pushes 1 or 0.","Compara diferença e coloca 1 ou 0 na pilha."
RUNE_NEQ_EXTRA,"operation: !=","operação: !="
RUNE_LT_DESCRIPTION,"Checks whether the value below the top is smaller than the top.","Verifica se o penúltimo valor é menor que o topo."
RUNE_LT_EXTRA,"operation: <","operação: <"
RUNE_GT_DESCRIPTION,"Checks whether the value below the top is greater than the top.","Verifica se o penúltimo valor é maior que o topo."
RUNE_GT_EXTRA,"operation: >","operação: >"
RUNE_LTE_DESCRIPTION,"Checks whether the value below the top is at most the top.","Verifica se o penúltimo valor é menor ou igual ao topo."
RUNE_LTE_EXTRA,"operation: <=","operação: ≤"
RUNE_GTE_DESCRIPTION,"Checks whether the value below the top is at least the top.","Verifica se o penúltimo valor é maior ou igual ao topo."
RUNE_GTE_EXTRA,"operation: >=","operação: ≥"
RUNE_NOT_DESCRIPTION,"Inverts a boolean: 1 becomes 0 and 0 becomes 1.","Inverte um booleano: 1 vira 0 e 0 vira 1."
RUNE_NOT_EXTRA,"logic: not","lógica: não"
RUNE_AND_DESCRIPTION,"Combines two booleans with AND.","Combina dois booleanos com E."
RUNE_AND_EXTRA,"logic: and","lógica: e"
RUNE_OR_DESCRIPTION,"Combines two booleans with OR.","Combina dois booleanos com OU."
RUNE_OR_EXTRA,"logic: or","lógica: ou"
RUNE_WARP_DESCRIPTION,"Jumps to another WARP with the same intensity.","Salta para outro WARP com a mesma intensidade."
RUNE_WARP_EXTRA,"portal","portal"
RUNE_WARP_ENDPOINT_DESCRIPTION,"Destination shared by every WARP with the same intensity.","Destino de todos os WARP com a mesma intensidade."
RUNE_WARP_ENDPOINT_EXTRA,"portal destination","portal destino"
